iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2]
0,-1.7132781594991684,0.6000171586871147,0.5860195890069008,0.6107713416218757,0.5971761666238308,0.5996322058141231,0.5889445453882217
1,-2.34015029668808,0.600677116215229,0.5698494598269462,0.6228722468018532,0.5922919906675815,0.6004300065338611,0.5763655662536621
2,-3.0942662954330444,0.6019149556756019,0.5519182965159416,0.6359983816742897,0.5853477366268635,0.6023672170937061,0.5627718031406402
3,-3.8942019641399384,0.6034912601113319,0.533243878185749,0.649512080848217,0.5766962863504886,0.6052101202309131,0.5490437060594558
4,-4.627478301525116,0.6050474479794502,0.5152435883879661,0.6625553205609321,0.5670417048037052,0.6085540600121021,0.5362207651138305
5,-5.212586581707001,0.6062646940350532,0.4992122337222099,0.6743477866053581,0.5572353102266788,0.6119673199951648,0.5251158833503723
6,-5.632539629936218,0.6069977417588234,0.4858382329344749,0.684453783929348,0.5479782022535801,0.6151373632252216,0.5160460233688354
7,-5.915460288524628,0.6072802379727363,0.475139407813549,0.6928204879164696,0.5396809972822666,0.6179144628345966,0.508886969089508
8,-6.10077303647995,0.6072355642914772,0.46674623936414716,0.6996266826987266,0.5324924387037754,0.620265270024538,0.5033030569553375
9,-6.221434056758881,0.6069933906197548,0.46018281430006025,0.7051325425505638,0.5263890422880649,0.6222189612686634,0.49894428849220274
10,-6.300377190113068,0.6066540017724037,0.4550225719809532,0.7095884069800377,0.5212718643248081,0.623826140910387,0.4955099284648895
11,-6.35256689786911,0.606282277405262,0.4509184792637825,0.7132096275687217,0.5170105941593647,0.6251421518623829,0.4927691280841827
12,-6.387428313493729,0.6059183910489082,0.4476196154952049,0.7161665096879005,0.5134736098349094,0.6262186266481876,0.49055947959423063
13,-6.410956889390945,0.6055795684456825,0.4449425920844078,0.7185929998755455,0.5105379469692707,0.6271001346409321,0.48875894248485563
14,-6.427014321088791,0.6052742287516594,0.44274736791849134,0.7205957159399986,0.5081042446196079,0.6278223045170307,0.4872784227132797
15,-6.438053280115128,0.6050047114491462,0.4409362658858299,0.7222557201981544,0.5060802049934864,0.6284179784357548,0.486052593588829
16,-6.445714592933655,0.6047710314393043,0.43942993730306623,0.7236367598176002,0.5043951071798801,0.628909046202898,0.48503427803516386
17,-6.4510577917099,0.6045682266354561,0.43817654103040693,0.7247903034090996,0.5029879309237003,0.6293158330023289,0.48418366014957426
18,-6.454816967248917,0.6043941661715507,0.4371245488524437,0.7257568076252937,0.5018091149628162,0.6296549536287784,0.4834683746099472
19,-6.457466930150986,0.6042449459433555,0.43623910695314405,0.7265682801604271,0.5008239842951298,0.6299369432032108,0.482865309715271
20,-6.459349542856216,0.6041172578930855,0.43549264818429945,0.7272513642907142,0.4999939002096653,0.6301729626953602,0.48235791027545927
21,-6.460689663887024,0.6040081813931465,0.43486407250165937,0.7278270706534385,0.4992952890694141,0.6303709842264652,0.48193118572235105
22,-6.461645722389221,0.6039154961705208,0.43432962745428083,0.728313384950161,0.4987055607140064,0.6305364914238453,0.48156905770301817
23,-6.462337702512741,0.6038361623883247,0.4338789418339729,0.72872564047575,0.4982076533138752,0.6306759662926197,0.48126268982887266
24,-6.46282559633255,0.6037679299712181,0.4334956094622612,0.7290740296244621,0.4977857418358326,0.630794832855463,0.4810020387172699
25,-6.463174909353256,0.6037087574601173,0.43317188173532484,0.7293695792555809,0.49742926135659216,0.6308945812284946,0.480778893828392
26,-6.463434010744095,0.603659762442112,0.43289649337530134,0.7296199783682823,0.49712869003415106,0.6309783406555652,0.48059112429618833
27,-6.463618814945221,0.6036176368594169,0.4326614573597908,0.7298340037465095,0.49687101915478704,0.6310492999851703,0.4804294317960739
28,-6.463748186826706,0.6035813376307487,0.4324620649218559,0.730014605820179,0.49665206149220464,0.631110230833292,0.4802920877933502
29,-6.4638484716415405,0.6035502836108207,0.4322924748063087,0.7301687732338905,0.49646631851792333,0.6311613120138645,0.48017565011978147
30,-6.46392023563385,0.6035238638520241,0.4321484550833702,0.730300186574459,0.4963076956570148,0.6312050022184849,0.48007739186286924
31,-6.463963687419891,0.6035005137324333,0.4320270702242851,0.7304126754403114,0.4961735554039478,0.6312420316040516,0.47999378144741056
32,-6.464003026485443,0.6034807398915291,0.4319217041134834,0.7305092051625252,0.49606039598584173,0.6312740243971348,0.47992312014102934
33,-6.464031338691711,0.6034636780619621,0.4318322822451591,0.7305900886654854,0.4959626592695713,0.6313012488186359,0.4798605352640152
34,-6.4640514850616455,0.6034496560692787,0.43175710588693617,0.7306598111987114,0.4958822228014469,0.631324241310358,0.47980829179286955
35,-6.464066743850708,0.6034376755356788,0.4316903635859489,0.7307177767157554,0.49581254497170446,0.6313434638082981,0.4797650337219238
36,-6.464071750640869,0.6034271106123924,0.43163649588823316,0.7307676956057548,0.49575153961777685,0.6313610322773456,0.4797279298305511
37,-6.464081972837448,0.6034169033169746,0.431588976085186,0.7308098956942558,0.49569753780961034,0.6313757844269275,0.47969560921192167
38,-6.464088022708893,0.6034084245562553,0.43154908567667005,0.7308458968997001,0.4956560380756855,0.6313885994255543,0.47966829538345335
39,-6.464088797569275,0.6034025534987449,0.43151467889547346,0.7308764591813087,0.495618874579668,0.631399343162775,0.47964627146720884
40,-6.4640946090221405,0.6033973529934883,0.4314842358231544,0.7309026852250099,0.49558610692620275,0.6314088650047779,0.4796248584985733
41,-6.4640971422195435,0.6033929869532585,0.431459604203701,0.7309249028563499,0.495557451993227,0.6314167030155658,0.47960773706436155
42,-6.4640988409519196,0.6033900663256645,0.43143746107816694,0.7309434399008751,0.4955353386700153,0.6314225144684315,0.4795947581529617
43,-6.464098006486893,0.6033870413899421,0.4314196690917015,0.7309608146548271,0.4955157436430454,0.6314278490841388,0.4795843422412872
44,-6.464099258184433,0.6033834353089332,0.4314031586050987,0.7309744790196419,0.4954987563192844,0.6314322598278522,0.47957358360290525
45,-6.464100956916809,0.603381185233593,0.4313900306820869,0.7309866979718208,0.4954849876463413,0.6314364023506641,0.47956297397613523
46,-6.464097678661346,0.6033796057105064,0.4313803747296333,0.7309962794184685,0.49547305181622503,0.631440008431673,0.47955643236637113
47,-6.464101105928421,0.6033792033791542,0.4313707485795021,0.7310051903128624,0.4954619504511356,0.6314427353441715,0.4795509487390518
48,-6.464095085859299,0.6033770874142647,0.4313624188303947,0.7310122981667518,0.4954527713358402,0.6314452536404133,0.47954524159431455
49,-6.4640986025333405,0.6033751204609871,0.43135462552309034,0.7310190185904503,0.49544561877846716,0.6314472205936908,0.4795402199029922
50,-6.464103937149048,0.6033738687634468,0.43134955912828443,0.7310231164097786,0.49544034376740453,0.6314489789307117,0.47953630089759824
51,-6.46409410238266,0.603372959792614,0.43134516328573225,0.7310274228453636,0.4954348303377628,0.6314490832388401,0.4795320987701416
52,-6.464101076126099,0.6033721849322319,0.43134195953607557,0.7310311034321785,0.49542886987328527,0.6314495898783207,0.4795306086540222
53,-6.464099436998367,0.6033697411417961,0.4313358351588249,0.7310354694724083,0.4954253531992435,0.6314513631165027,0.47952615320682523
54,-6.4641042947769165,0.603367893397808,0.43133185654878614,0.7310371831059456,0.49542045071721075,0.6314520038664341,0.47952372431755064
